speed_kmh,straight_dist_m,min_steer_sw_deg,min_steer_wheel_deg,avoidable
10,5,N/A,N/A,0
10,10,N/A,N/A,0
10,15,N/A,N/A,0
10,20,30,2.0,1
10,25,20,1.33,1
10,30,15,1.0,1
10,35,20,1.33,1
10,40,30,2.0,1
10,45,N/A,N/A,0
10,50,N/A,N/A,0
10,55,N/A,N/A,0
10,60,N/A,N/A,0
10,65,N/A,N/A,0
10,70,N/A,N/A,0
10,75,N/A,N/A,0
10,80,N/A,N/A,0
10,85,N/A,N/A,0
10,90,N/A,N/A,0
10,95,N/A,N/A,0
10,100,N/A,N/A,0
10,105,N/A,N/A,0
10,110,N/A,N/A,0
10,115,N/A,N/A,0
10,120,N/A,N/A,0
20,5,N/A,N/A,0
20,10,N/A,N/A,0
20,15,30,2.0,1
20,20,20,1.33,1
20,25,15,1.0,1
20,30,15,1.0,1
20,35,20,1.33,1
20,40,30,2.0,1
20,45,N/A,N/A,0
20,50,N/A,N/A,0
20,55,N/A,N/A,0
20,60,N/A,N/A,0
20,65,N/A,N/A,0
20,70,N/A,N/A,0
20,75,N/A,N/A,0
20,80,N/A,N/A,0
20,85,N/A,N/A,0
20,90,N/A,N/A,0
20,95,N/A,N/A,0
20,100,N/A,N/A,0
20,105,N/A,N/A,0
20,110,N/A,N/A,0
20,115,N/A,N/A,0
20,120,N/A,N/A,0
30,5,30,2.0,1
30,10,25,1.67,1
30,15,20,1.33,1
30,20,15,1.0,1
30,25,15,1.0,1
30,30,15,1.0,1
30,35,20,1.33,1
30,40,N/A,N/A,0
30,45,N/A,N/A,0
30,50,N/A,N/A,0
30,55,N/A,N/A,0
30,60,N/A,N/A,0
30,65,N/A,N/A,0
30,70,N/A,N/A,0
30,75,N/A,N/A,0
30,80,N/A,N/A,0
30,85,N/A,N/A,0
30,90,N/A,N/A,0
30,95,N/A,N/A,0
30,100,N/A,N/A,0
30,105,N/A,N/A,0
30,110,N/A,N/A,0
30,115,N/A,N/A,0
30,120,N/A,N/A,0
40,5,20,1.33,1
40,10,15,1.0,1
40,15,15,1.0,1
40,20,15,1.0,1
40,25,15,1.0,1
40,30,15,1.0,1
40,35,20,1.33,1
40,40,N/A,N/A,0
40,45,N/A,N/A,0
40,50,N/A,N/A,0
40,55,N/A,N/A,0
40,60,N/A,N/A,0
40,65,N/A,N/A,0
40,70,N/A,N/A,0
40,75,N/A,N/A,0
40,80,N/A,N/A,0
40,85,N/A,N/A,0
40,90,N/A,N/A,0
40,95,N/A,N/A,0
40,100,N/A,N/A,0
40,105,N/A,N/A,0
40,110,N/A,N/A,0
40,115,N/A,N/A,0
40,120,N/A,N/A,0
50,5,15,1.0,1
50,10,15,1.0,1
50,15,15,1.0,1
50,20,15,1.0,1
50,25,15,1.0,1
50,30,15,1.0,1
50,35,20,1.33,1
50,40,N/A,N/A,0
50,45,N/A,N/A,0
50,50,N/A,N/A,0
50,55,N/A,N/A,0
50,60,N/A,N/A,0
50,65,N/A,N/A,0
50,70,N/A,N/A,0
50,75,N/A,N/A,0
50,80,N/A,N/A,0
50,85,N/A,N/A,0
50,90,N/A,N/A,0
50,95,N/A,N/A,0
50,100,N/A,N/A,0
50,105,N/A,N/A,0
50,110,N/A,N/A,0
50,115,N/A,N/A,0
50,120,N/A,N/A,0
60,5,15,1.0,1
60,10,15,1.0,1
60,15,15,1.0,1
60,20,15,1.0,1
60,25,15,1.0,1
60,30,15,1.0,1
60,35,20,1.33,1
60,40,N/A,N/A,0
60,45,N/A,N/A,0
60,50,N/A,N/A,0
60,55,N/A,N/A,0
60,60,N/A,N/A,0
60,65,N/A,N/A,0
60,70,N/A,N/A,0
60,75,N/A,N/A,0
60,80,N/A,N/A,0
60,85,N/A,N/A,0
60,90,N/A,N/A,0
60,95,N/A,N/A,0
60,100,N/A,N/A,0
60,105,N/A,N/A,0
60,110,N/A,N/A,0
60,115,N/A,N/A,0
60,120,N/A,N/A,0
70,5,15,1.0,1
70,10,10,0.67,1
70,15,10,0.67,1
70,20,15,1.0,1
70,25,15,1.0,1
70,30,15,1.0,1
70,35,20,1.33,1
70,40,N/A,N/A,0
70,45,N/A,N/A,0
70,50,N/A,N/A,0
70,55,N/A,N/A,0
70,60,N/A,N/A,0
70,65,N/A,N/A,0
70,70,N/A,N/A,0
70,75,N/A,N/A,0
70,80,N/A,N/A,0
70,85,N/A,N/A,0
70,90,N/A,N/A,0
70,95,N/A,N/A,0
70,100,N/A,N/A,0
70,105,N/A,N/A,0
70,110,N/A,N/A,0
70,115,N/A,N/A,0
70,120,N/A,N/A,0
80,5,10,0.67,1
80,10,10,0.67,1
80,15,10,0.67,1
80,20,10,0.67,1
80,25,15,1.0,1
80,30,15,1.0,1
80,35,20,1.33,1
80,40,N/A,N/A,0
80,45,N/A,N/A,0
80,50,N/A,N/A,0
80,55,N/A,N/A,0
80,60,N/A,N/A,0
80,65,N/A,N/A,0
80,70,N/A,N/A,0
80,75,N/A,N/A,0
80,80,N/A,N/A,0
80,85,N/A,N/A,0
80,90,N/A,N/A,0
80,95,N/A,N/A,0
80,100,N/A,N/A,0
80,105,N/A,N/A,0
80,110,N/A,N/A,0
80,115,N/A,N/A,0
80,120,N/A,N/A,0
90,5,10,0.67,1
90,10,10,0.67,1
90,15,10,0.67,1
90,20,10,0.67,1
90,25,15,1.0,1
90,30,15,1.0,1
90,35,20,1.33,1
90,40,N/A,N/A,0
90,45,N/A,N/A,0
90,50,N/A,N/A,0
90,55,N/A,N/A,0
90,60,N/A,N/A,0
90,65,N/A,N/A,0
90,70,N/A,N/A,0
90,75,N/A,N/A,0
90,80,N/A,N/A,0
90,85,N/A,N/A,0
90,90,N/A,N/A,0
90,95,N/A,N/A,0
90,100,N/A,N/A,0
90,105,N/A,N/A,0
90,110,N/A,N/A,0
90,115,N/A,N/A,0
90,120,N/A,N/A,0
100,5,10,0.67,1
100,10,10,0.67,1
100,15,10,0.67,1
100,20,10,0.67,1
100,25,15,1.0,1
100,30,15,1.0,1
100,35,20,1.33,1
100,40,N/A,N/A,0
100,45,N/A,N/A,0
100,50,N/A,N/A,0
100,55,N/A,N/A,0
100,60,N/A,N/A,0
100,65,N/A,N/A,0
100,70,N/A,N/A,0
100,75,N/A,N/A,0
100,80,N/A,N/A,0
100,85,N/A,N/A,0
100,90,N/A,N/A,0
100,95,N/A,N/A,0
100,100,N/A,N/A,0
100,105,N/A,N/A,0
100,110,N/A,N/A,0
100,115,N/A,N/A,0
100,120,N/A,N/A,0
110,5,10,0.67,1
110,10,10,0.67,1
110,15,10,0.67,1
110,20,10,0.67,1
110,25,15,1.0,1
110,30,15,1.0,1
110,35,20,1.33,1
110,40,N/A,N/A,0
110,45,N/A,N/A,0
110,50,N/A,N/A,0
110,55,N/A,N/A,0
110,60,N/A,N/A,0
110,65,N/A,N/A,0
110,70,N/A,N/A,0
110,75,N/A,N/A,0
110,80,N/A,N/A,0
110,85,N/A,N/A,0
110,90,N/A,N/A,0
110,95,N/A,N/A,0
110,100,N/A,N/A,0
110,105,N/A,N/A,0
110,110,N/A,N/A,0
110,115,N/A,N/A,0
110,120,N/A,N/A,0
120,5,10,0.67,1
120,10,10,0.67,1
120,15,10,0.67,1
120,20,10,0.67,1
120,25,15,1.0,1
120,30,15,1.0,1
120,35,N/A,N/A,0
120,40,N/A,N/A,0
120,45,N/A,N/A,0
120,50,N/A,N/A,0
120,55,N/A,N/A,0
120,60,N/A,N/A,0
120,65,N/A,N/A,0
120,70,N/A,N/A,0
120,75,N/A,N/A,0
120,80,N/A,N/A,0
120,85,N/A,N/A,0
120,90,N/A,N/A,0
120,95,N/A,N/A,0
120,100,N/A,N/A,0
120,105,N/A,N/A,0
120,110,N/A,N/A,0
120,115,N/A,N/A,0
120,120,N/A,N/A,0
10,N/A,5,0.33,0
10,N/A,10,0.67,0
10,N/A,15,1.0,1
10,N/A,20,1.33,1
10,N/A,25,1.67,1
10,N/A,30,2.0,1
10,N/A,35,2.33,0
10,N/A,40,2.67,0
10,N/A,45,3.0,0
10,N/A,50,3.33,0
10,N/A,55,3.67,0
10,N/A,60,4.0,0
10,N/A,65,4.33,0
10,N/A,70,4.67,0
10,N/A,75,5.0,0
10,N/A,80,5.33,0
10,N/A,85,5.67,0
10,N/A,90,6.0,0
20,N/A,5,0.33,0
20,N/A,10,0.67,0
20,N/A,15,1.0,1
20,N/A,20,1.33,1
20,N/A,25,1.67,1
20,N/A,30,2.0,1
20,N/A,35,2.33,0
20,N/A,40,2.67,0
20,N/A,45,3.0,0
20,N/A,50,3.33,0
20,N/A,55,3.67,0
20,N/A,60,4.0,0
20,N/A,65,4.33,0
20,N/A,70,4.67,0
20,N/A,75,5.0,0
20,N/A,80,5.33,0
20,N/A,85,5.67,0
20,N/A,90,6.0,0
30,N/A,5,0.33,0
30,N/A,10,0.67,0
30,N/A,15,1.0,1
30,N/A,20,1.33,1
30,N/A,25,1.67,1
30,N/A,30,2.0,1
30,N/A,35,2.33,0
30,N/A,40,2.67,0
30,N/A,45,3.0,0
30,N/A,50,3.33,0
30,N/A,55,3.67,0
30,N/A,60,4.0,0
30,N/A,65,4.33,0
30,N/A,70,4.67,0
30,N/A,75,5.0,0
30,N/A,80,5.33,0
30,N/A,85,5.67,0
30,N/A,90,6.0,0
40,N/A,5,0.33,0
40,N/A,10,0.67,0
40,N/A,15,1.0,1
40,N/A,20,1.33,1
40,N/A,25,1.67,1
40,N/A,30,2.0,0
40,N/A,35,2.33,0
40,N/A,40,2.67,0
40,N/A,45,3.0,0
40,N/A,50,3.33,0
40,N/A,55,3.67,0
40,N/A,60,4.0,0
40,N/A,65,4.33,0
40,N/A,70,4.67,0
40,N/A,75,5.0,0
40,N/A,80,5.33,0
40,N/A,85,5.67,0
40,N/A,90,6.0,0
50,N/A,5,0.33,0
50,N/A,10,0.67,0
50,N/A,15,1.0,1
50,N/A,20,1.33,1
50,N/A,25,1.67,1
50,N/A,30,2.0,0
50,N/A,35,2.33,0
50,N/A,40,2.67,0
50,N/A,45,3.0,0
50,N/A,50,3.33,0
50,N/A,55,3.67,0
50,N/A,60,4.0,0
50,N/A,65,4.33,0
50,N/A,70,4.67,0
50,N/A,75,5.0,0
50,N/A,80,5.33,0
50,N/A,85,5.67,0
50,N/A,90,6.0,0
60,N/A,5,0.33,0
60,N/A,10,0.67,0
60,N/A,15,1.0,1
60,N/A,20,1.33,1
60,N/A,25,1.67,1
60,N/A,30,2.0,0
60,N/A,35,2.33,0
60,N/A,40,2.67,0
60,N/A,45,3.0,0
60,N/A,50,3.33,0
60,N/A,55,3.67,0
60,N/A,60,4.0,0
60,N/A,65,4.33,0
60,N/A,70,4.67,0
60,N/A,75,5.0,0
60,N/A,80,5.33,0
60,N/A,85,5.67,0
60,N/A,90,6.0,0
70,N/A,5,0.33,0
70,N/A,10,0.67,1
70,N/A,15,1.0,1
70,N/A,20,1.33,1
70,N/A,25,1.67,0
70,N/A,30,2.0,0
70,N/A,35,2.33,0
70,N/A,40,2.67,0
70,N/A,45,3.0,0
70,N/A,50,3.33,0
70,N/A,55,3.67,0
70,N/A,60,4.0,0
70,N/A,65,4.33,0
70,N/A,70,4.67,0
70,N/A,75,5.0,0
70,N/A,80,5.33,0
70,N/A,85,5.67,0
70,N/A,90,6.0,0
80,N/A,5,0.33,0
80,N/A,10,0.67,1
80,N/A,15,1.0,1
80,N/A,20,1.33,1
80,N/A,25,1.67,0
80,N/A,30,2.0,0
80,N/A,35,2.33,0
80,N/A,40,2.67,0
80,N/A,45,3.0,0
80,N/A,50,3.33,0
80,N/A,55,3.67,0
80,N/A,60,4.0,0
80,N/A,65,4.33,0
80,N/A,70,4.67,0
80,N/A,75,5.0,0
80,N/A,80,5.33,0
80,N/A,85,5.67,0
80,N/A,90,6.0,0
90,N/A,5,0.33,0
90,N/A,10,0.67,1
90,N/A,15,1.0,1
90,N/A,20,1.33,1
90,N/A,25,1.67,0
90,N/A,30,2.0,0
90,N/A,35,2.33,0
90,N/A,40,2.67,0
90,N/A,45,3.0,0
90,N/A,50,3.33,0
90,N/A,55,3.67,0
90,N/A,60,4.0,0
90,N/A,65,4.33,0
90,N/A,70,4.67,0
90,N/A,75,5.0,0
90,N/A,80,5.33,0
90,N/A,85,5.67,0
90,N/A,90,6.0,0
100,N/A,5,0.33,0
100,N/A,10,0.67,1
100,N/A,15,1.0,1
100,N/A,20,1.33,1
100,N/A,25,1.67,0
100,N/A,30,2.0,0
100,N/A,35,2.33,0
100,N/A,40,2.67,0
100,N/A,45,3.0,0
100,N/A,50,3.33,0
100,N/A,55,3.67,0
100,N/A,60,4.0,0
100,N/A,65,4.33,0
100,N/A,70,4.67,0
100,N/A,75,5.0,0
100,N/A,80,5.33,0
100,N/A,85,5.67,0
100,N/A,90,6.0,0
110,N/A,5,0.33,0
110,N/A,10,0.67,1
110,N/A,15,1.0,1
110,N/A,20,1.33,1
110,N/A,25,1.67,0
110,N/A,30,2.0,0
110,N/A,35,2.33,0
110,N/A,40,2.67,0
110,N/A,45,3.0,0
110,N/A,50,3.33,0
110,N/A,55,3.67,0
110,N/A,60,4.0,0
110,N/A,65,4.33,0
110,N/A,70,4.67,0
110,N/A,75,5.0,0
110,N/A,80,5.33,0
110,N/A,85,5.67,0
110,N/A,90,6.0,0
120,N/A,5,0.33,0
120,N/A,10,0.67,1
120,N/A,15,1.0,1
120,N/A,20,1.33,0
120,N/A,25,1.67,0
120,N/A,30,2.0,0
120,N/A,35,2.33,0
120,N/A,40,2.67,0
120,N/A,45,3.0,0
120,N/A,50,3.33,0
120,N/A,55,3.67,0
120,N/A,60,4.0,0
120,N/A,65,4.33,0
120,N/A,70,4.67,0
120,N/A,75,5.0,0
120,N/A,80,5.33,0
120,N/A,85,5.67,0
120,N/A,90,6.0,0
